Datetime,DOM_MW
04-01-2022 04:00,9663.778
04-01-2022 05:00,9391.423
04-01-2022 06:00,9179.308
04-01-2022 07:00,9090.752
04-01-2022 08:00,9232.191
04-01-2022 09:00,9646.597
04-01-2022 10:00,10496.437
04-01-2022 11:00,11068.085
04-01-2022 12:00,11003.735
04-01-2022 13:00,10851.527
04-01-2022 14:00,10764.47
04-01-2022 15:00,10791.957
04-01-2022 16:00,10769.428
04-01-2022 17:00,10651.498
04-01-2022 18:00,10534.719
04-01-2022 19:00,10480.463
04-01-2022 20:00,10542.569
04-01-2022 21:00,10734.046
04-01-2022 22:00,11008.976
04-01-2022 23:00,11422.809
04-02-2022 00:00,11681.868
04-02-2022 01:00,11495.744
04-02-2022 02:00,11148.17
04-02-2022 03:00,10767.198
04-02-2022 04:00,10472.485
04-02-2022 05:00,10370.055
04-02-2022 06:00,10362.332
04-02-2022 07:00,10458.882
04-02-2022 08:00,10736.367
04-02-2022 09:00,11198.133
04-02-2022 10:00,11864.703
04-02-2022 11:00,12444.821
04-02-2022 12:00,12208.831
04-02-2022 13:00,11678.8
04-02-2022 14:00,11218.516
04-02-2022 15:00,10801.562
04-02-2022 16:00,10443.797
04-02-2022 17:00,10105.595
04-02-2022 18:00,9878.164
04-02-2022 19:00,9731.674
04-02-2022 20:00,9844.75
04-02-2022 21:00,10123.671
04-02-2022 22:00,10586.026
04-02-2022 23:00,11062.827
04-03-2022 00:00,11354.659
04-03-2022 01:00,11154.312
04-03-2022 02:00,10847.921
04-03-2022 03:00,10477.114
04-03-2022 04:00,10128.047
04-03-2022 05:00,9835.879
04-03-2022 06:00,9767.531
04-03-2022 07:00,9699.003
04-03-2022 08:00,9806.591
04-03-2022 09:00,10012.455
04-03-2022 10:00,10289.995
04-03-2022 11:00,10637.646
04-03-2022 12:00,10618.353
04-03-2022 13:00,10356.272
04-03-2022 14:00,10145.982
04-03-2022 15:00,9998.632
04-03-2022 16:00,9962.874
04-03-2022 17:00,9818.397
04-03-2022 18:00,9773.688
04-03-2022 19:00,9790.808
04-03-2022 20:00,9971.261
